Pot Structure mpid RMS imagmodes(pot) imagmodes(dft) 
Fig_2_combined_M_7000 24 mp-165 0.22049291216148947 False False
Fig_2_combined_M_7000 25 mp-168 0.25468207084094757 False False
Fig_2_combined_M_7000 28 mp-571520 0.37548269845669785 False False
Fig_2_combined_M_7000 32 mp-971661 0.2832389091944521 False False
Fig_2_combined_M_7000 33 mp-971662 0.16289461072102765 False False
Fig_2_combined_M_7000 34 mp-999200 0.2515060983170805 False False
Fig_2_combined_M_9000 5 mp-1072544 0.3083528823834659 False False
Fig_2_combined_M_9000 6 mp-1079297 0.24763182463122355 False False
Fig_2_combined_M_9000 9 mp-1095269 0.28908863647644484 False False
Fig_2_combined_M_9000 15 mp-1200830 0.1428811036184273 False False
Fig_2_combined_M_9000 18 mp-1203790 0.12439953474485022 False False
Fig_2_combined_M_9000 22 mp-149 0.29881246247794013 False False
Fig_2_combined_M_9000 23 mp-16220 0.17505595729470588 False False
Fig_2_combined_M_9000 24 mp-165 0.18180900232435654 False False
Fig_2_combined_M_9000 25 mp-168 0.23853007551359673 False False
Fig_2_combined_M_9000 28 mp-571520 0.3515560578064958 False False
Fig_2_combined_M_9000 32 mp-971661 0.2389351078326827 False False
Fig_2_combined_M_9000 33 mp-971662 0.1684458414350117 False False
Fig_2_combined_M_9000 34 mp-999200 0.2398249565444958 False False
Fig_4_only_individual_f_0.1000 5 mp-1072544 0.4419174027396219 False False
Fig_4_only_individual_f_0.1000 6 mp-1079297 0.3024905271669936 False False
Fig_4_only_individual_f_0.1000 9 mp-1095269 0.2649912761112427 False False
Fig_4_only_individual_f_0.1000 15 mp-1200830 0.15417777377096348 False False
Fig_4_only_individual_f_0.1000 18 mp-1203790 0.0714612714976081 False False
Fig_4_only_individual_f_0.1000 22 mp-149 0.3966959698686619 False False
Fig_4_only_individual_f_0.1000 23 mp-16220 0.2744038226981645 False False
Fig_4_only_individual_f_0.1000 24 mp-165 0.5816434706265885 False False
Fig_4_only_individual_f_0.1000 25 mp-168 1.6740298465147456 True False
Fig_4_only_individual_f_0.1000 28 mp-571520 0.532653783895264 False False
Fig_4_only_individual_f_0.1000 32 mp-971661 0.16696550492238907 False False
Fig_4_only_individual_f_0.1000 33 mp-971662 0.055356292331522026 False False
Fig_4_only_individual_f_0.1000 34 mp-999200 0.6097727279236681 True False
Fig_4_only_individual_f_0.0100 5 mp-1072544 0.3384534255242748 False False
Fig_4_only_individual_f_0.0100 6 mp-1079297 0.20218909733811882 False False
Fig_4_only_individual_f_0.0100 9 mp-1095269 0.19984460496087797 False False
Fig_4_only_individual_f_0.0100 15 mp-1200830 0.1979680756332925 False False
Fig_4_only_individual_f_0.0100 18 mp-1203790 0.06566046473262833 False False
Fig_4_only_individual_f_0.0100 22 mp-149 0.274569728335201 False False
Fig_4_only_individual_f_0.0100 23 mp-16220 0.21033472754376553 False False
Fig_4_only_individual_f_0.0100 24 mp-165 0.3128921897230467 False False
Fig_4_only_individual_f_0.0100 25 mp-168 1.0343445048694813 True False
Fig_4_only_individual_f_0.0100 28 mp-571520 0.39069124700770613 False False
Fig_4_only_individual_f_0.0100 32 mp-971661 0.20075587234603176 False False
Fig_4_only_individual_f_0.0100 33 mp-971662 0.053465081951242055 False False
Fig_4_only_individual_f_0.0100 34 mp-999200 0.4349099487766964 True False
Fig_4_only_individual_f_0.0010 5 mp-1072544 0.31600693006829206 False False
Fig_4_only_individual_f_0.0010 6 mp-1079297 0.15103275497768812 False False
Fig_4_only_individual_f_0.0010 9 mp-1095269 0.1613663142702381 False False
Fig_4_only_individual_f_0.0010 15 mp-1200830 0.11156504946023875 False False
Fig_4_only_individual_f_0.0010 18 mp-1203790 0.07876427938174303 False False
Fig_4_only_individual_f_0.0010 22 mp-149 0.19808496959626032 True False
Fig_4_only_individual_f_0.0010 23 mp-16220 0.17032343838516353 False False
Fig_4_only_individual_f_0.0010 24 mp-165 0.24663502897426692 False False
Fig_4_only_individual_f_0.0010 25 mp-168 0.5464864585298916 False False
Fig_4_only_individual_f_0.0010 28 mp-571520 0.2791183037819847 False False
Fig_4_only_individual_f_0.0010 32 mp-971661 0.18871400745820407 False False
Fig_4_only_individual_f_0.0010 33 mp-971662 0.043573144733643716 False False
Fig_4_only_individual_f_0.0010 34 mp-999200 0.25831261138858663 True False
Fig_4_only_individual_f_0.0001 5 mp-1072544 0.1940315651698001 False False
Fig_4_only_individual_f_0.0001 6 mp-1079297 0.2534285526479036 False False
Fig_4_only_individual_f_0.0001 9 mp-1095269 0.2295341345431492 False False
Fig_4_only_individual_f_0.0001 15 mp-1200830 0.09080642876022214 False False
Fig_4_only_individual_f_0.0001 18 mp-1203790 0.10128435758503877 False False
